concept:country:republic	country republic
concept:landscapefeatures:sites	landscape features sites
concept:city:san_luis_obispo	city san luis obispo
concept:farm:farmers	farm farmers
concept:city:deal	city deal
concept:governmentorganization:services	government organization services
concept:visualartist:meyer	visual artist meyer
concept:city:poway	city poway
concept:governmentorganization:employment	government organization employment
concept:plant:sycamore	plant sycamore
concept:city:division	city division
concept:city:roseville	city roseville
concept:geopoliticallocation:dubai	geopolitical location dubai
concept:lake:coastal_city	lake coastal city
concept:company:los_angeles	company los angeles
concept:politicaloffice:new	political office new
concept:bodypart:tract001	body part tract 001
concept:city:uk	city uk
concept:year:n1956	year n 1956
concept:coach:kentucky	coach kentucky
concept:chemical:paducah	chemical paducah
concept:person:ty_willingham	person ty will ingham
concept:sportsteam:trail_blazers	sports team trail blazers
concept:county:williamsburg	county williamsburg
concept:country:norway	country norway
concept:sportsteam:raptors	sports team raptors
concept:sportsteam:boston_celtics	sports team boston celtics
concept:website:price	website price
concept:food:foliage	food foliage
concept:plant:oak	plant oak
concept:sportsequipment:ball	sports equipment ball
concept:city:dublin_dublin	city dublin dublin
concept:country:haiti	country haiti
concept:museum:present	museum present
concept:radiostation:san_angelo	radio station san angelo
concept:country:malaysia	country malaysia
concept:bodypart:major_organs	body part major organs
concept:coach:ron_turner	coach ron turner
concept:bodypart:cell	body part cell
concept:coach:tommy_bowden	coach tommy bowden
concept:stateorprovince:investors	state or province investors
concept:city:springfield	city springfield
concept:plant:guava	plant guava
concept:mammal:australasia	mammal australasia
concept:musicinstrument:africa	music instrument africa
concept:city:emeryville	city emery ville
concept:city:upland	city upland
concept:stateorprovince:mississippi	state or province mississippi
concept:plant:birch	plant birch
concept:dateliteral:n1943	date literal n 1943
concept:sportsteam:georgia_tech	sports team georgia tech
concept:coach:chan_gailey	coach chan gail ey
concept:plant:silver_maple	plant silver maple
concept:city:aurora	city aurora
concept:muscle:skeletal_muscles	muscle skeletal muscles
concept:year:n1989	year n 1989
concept:city:nyc_	city nyc
concept:bodypart:viscera	body part viscera
concept:city:east_lansing	city east lansing
concept:sportsteam:mavs	sports team ma vs
concept:nerve:nerve_roots	nerve nerve roots
concept:politicalparty:other_countries	political party other countries
concept:month:december	month december
concept:nerve:medulla	nerve medulla
concept:plant:shrub	plant shrub
concept:lake:great_lakes	lake great lakes
concept:blog:manager	blog manager
concept:trainstation:agents	train station agents
concept:bodypart:consciousness	body part consciousness
concept:braintissue:thyroid_gland	brain tissue thyroid gland
concept:website:feature	website feature
concept:person:jeff_tedford	person jeff ted ford
concept:building:rates	building rates
concept:city:vegas	city vegas
concept:muscle:skeletal_system	muscle skeletal system
concept:trainstation:fall	train station fall
concept:bodypart:anatomy	body part anatomy
concept:plant:dogwoods	plant dogwoods
concept:country:comoros	country comoros
concept:country:democratic_republic_of_congo	country democratic republic of congo
concept:county:austin	county austin
concept:stateorprovince:minnesota	state or province minnesota
concept:stadiumoreventvenue:johnny_red_floyd_stadium	stadium or event venue johnny red floyd stadium
concept:country:chile	country chile
concept:stateorprovince:nevada	state or province nevada
concept:sportsteam:notre_dame	sports team notre dame
concept:year:n1983	year n 1983
concept:city:hopkinsville	city hopkinsville
concept:city:boca_raton	city boca raton
concept:shoppingmall:pompano_beach	shopping mall pompano beach
concept:blog:northern_virginia	blog northern virginia
concept:stateorprovince:north_carolina	state or province north carolina
concept:sportsteam:padres	sports team padres
concept:lymphnode:lymph_nodes	lymph node lymph nodes
concept:plant:cypresses	plant cypresses
concept:plant:moss	plant moss
concept:country:switzerland	country switzerland
concept:personaustralia:paul_hewitt	person australia paul hewitt
concept:city:reason	city reason
concept:stadiumoreventvenue:palace_of_auburn_hills	stadium or event venue palace of auburn hills
concept:bodypart:limbs	body part limbs
concept:city:salinas	city salinas
concept:city:nipomo	city ni pomo
concept:geopoliticallocation:ecuador	geopolitical location ecuador
concept:bodypart:root	body part root
concept:island:iceland	island iceland
concept:city:plans	city plans
concept:plant:crabapple	plant crab apple
concept:stateorprovince:nunavut	state or province nunavut
concept:musicartist:journal	music artist journal
concept:musicinstrument:avalon	music instrument avalon
concept:country:bahamas	country bahamas
concept:currency:dollars	currency dollars
concept:transportation:weather	transportation weather
concept:braintissue:stress	brain tissue stress
concept:website:teaching	website teaching
concept:city:renton	city renton
concept:sport:softball	sport softball
concept:person:spurrier	person spur rie r
concept:country:darfur	country darfur
concept:plant:redbuds	plant redbud s
concept:county:louisiana_state	county louisiana state
concept:city:lima	city lima
concept:country:phillipines	country phillipines
concept:planet:economy	planet economy
concept:braintissue:ganglia	brain tissue ganglia
concept:country:wales	country wales
concept:website:report	website report
concept:plant:cedars	plant cedars
concept:male:sun	male sun
concept:geopoliticallocation:yale	geopolitical location yale
concept:city:pleasanton	city pleasanton
concept:stadiumoreventvenue:oracle_arena	stadium or event venue oracle arena
concept:year:n1970	year n 1970
concept:company:post	company post
concept:website:trip	website trip
concept:sportsteam:oakland_athletics	sports team oakland athletics
concept:beach:fort_worth	beach fort worth
concept:male:john_thompson_iii	male john thompson iii
concept:plant:mulberry	plant mulberry
concept:bodypart:functions	body part functions
concept:country:singapore	country singapore
concept:building:cities	building cities
concept:plant:conifers	plant conifers
concept:sportsteam:mariners	sports team mariners
concept:sportsteam:san_diego_padres	sports team san diego padres
concept:stadiumoreventvenue:kyle_field	stadium or event venue kyle field
concept:country:albania	country albania
concept:country:nazi_germany	country nazi germany
concept:website:license	website license
concept:city:mendocino	city mendocino
concept:muscle:heart_muscle	muscle heart muscle
concept:geopoliticallocation:navy	geopolitical location navy
concept:stateorprovince:cooperation	state or province cooperation
concept:country:balkans	country balkans
concept:county:brandon	county brandon
concept:stateorprovince:wyoming	state or province wyoming
concept:county:athens	county athens
concept:aquarium:experiences	aquarium experiences
concept:city:citrus_heights	city citrus heights
concept:coach:alabama_crimson_tide	coach alabama crimson tide
concept:coach:cincinnati_bearcats	coach cincinnati bearcats
concept:city:port_arthur	city port arthur
concept:continent:africa	continent africa
concept:stadiumoreventvenue:theatre	stadium or event venue theatre
concept:vehicle:services	vehicle services
concept:plant:juniper	plant juniper
concept:musicsong:galveston	music song galveston
concept:plant:palm_trees	plant palm trees
concept:geopoliticallocation:offer	geopolitical location offer
concept:city:miami_beach	city miami beach
concept:plant:perennials	plant perennials
concept:plant:peonies	plant peonies
concept:plant:lindens	plant lindens
concept:city:rio	city rio
concept:river:american	river american
concept:plant:pines	plant pines
concept:plant:bushes	plant bushes
concept:plant:tamarisk	plant tamarisk
concept:city:san_clemente	city san clemente
concept:city:elk_grove	city elk grove
concept:university:north_dakota_state	university north dakota state
concept:skyscraper:financial_center	skyscraper financial center
concept:county:bay_area	county bay area
concept:plant:cedar	plant cedar
concept:attraction:background	attraction background
concept:plant:cottonwood	plant cottonwood
concept:vein:blood_vessel	vein blood vessel
concept:country:italy	country italy
concept:country:fiji	country fiji
concept:transportation:coalition	transportation coalition
concept:plant:hazelnut	plant hazelnut
concept:island:proposal	island proposal
concept:stateorprovince:tasmania	state or province tasmania
concept:sportsteam:time_the_cubs	sports team time the cubs
concept:plant:holm_oaks	plant holm oaks
concept:country:egypt	country egypt
concept:radiostation:dothan	radio station dothan
concept:muscle:neuromuscular_junction	muscle neuromuscular junction
concept:city:winston_salem	city winston salem
concept:year:n1960	year n 1960
concept:plant:hardwoods	plant hardwoods
concept:color:green	color green
concept:city:discussion	city discussion
concept:website:trends	website trends
concept:sportsteam:usc	sports team usc
concept:plant:elm	plant elm
concept:city:homestead	city homestead
concept:county:tallahassee	county tallahassee
concept:city:barcelona	city barcelona
concept:plant:pandanus	plant pandanus
concept:sportsteam:nittany_lions	sports team nitta ny lions
concept:book:key_west	book key west
concept:county:utah	county utah
concept:stateorprovince:british_columbia	state or province british columbia
concept:visualizablething:charge	visual iz able thing charge
concept:stadiumoreventvenue:carter_finley_stadium	stadium or event venue carter finley stadium
concept:city:azusa	city az usa
concept:nerve:muscles	nerve muscles
concept:nerve:spine	nerve spine
concept:city:redondo_beach	city redondo beach
concept:website:influence	website influence
concept:nerve:ligaments	nerve ligaments
concept:celebrity:northwestern_wildcats	celebrity northwestern wildcats
concept:braintissue:area	brain tissue area
concept:beach:jacksonville	beach jacksonville
concept:mountain:melanesia	mountain melanesia
concept:muscle:cardiac_muscle	muscle cardiac muscle
concept:dateliteral:n1980	date literal n 1980
concept:celebrity:southern_illinois_salukis	celebrity southern illinois s aluk is
concept:city:montreal	city montreal
concept:sportsteamposition:player	sports team position player
concept:city:neighborhood	city neighborhood
concept:country:republic_of_angola	country republic of angola
concept:plant:birches	plant birches
concept:country:somalia	country somalia
concept:month:june	month june
concept:city:arlington_heights	city arlington heights
concept:artery:major_vessel	artery major vessel
concept:university:villanova	university villanova
concept:coach:jamey_wright	coach jam ey wright
concept:city:visalia	city visa lia
concept:city:quincy	city quincy
concept:plant:pine_trees	plant pine trees
concept:plant:hibiscus	plant hibiscus
concept:city:parents	city parents
concept:website:trend	website trend
concept:city:supply	city supply
concept:city:valencia	city valencia
concept:city:population	city population
concept:stadiumoreventvenue:huskie_stadium	stadium or event venue husk ie stadium
concept:plant:mangrove	plant mangrove
concept:plant:tulip	plant tulip
concept:landscapefeatures:water	landscape features water
concept:color:yellow	color yellow
concept:city:construction	city construction
concept:city:tripoli	city tripoli
concept:sportsteam:wichita_state	sports team wichita state
concept:city:heathrow	city heathrow
concept:room:master	room master
concept:artery:cervix	artery cervix
concept:mountain:geography	mountain geography
concept:stateorprovince:malopolskie	state or province malo polski e
concept:river:neches	river nec he s
concept:artery:individuals	artery individuals
concept:county:youth	county youth
concept:county:private_schools	county private schools
concept:plant:ficus	plant ficus
concept:coach:kansas_state	coach kansas state
concept:artery:vessel_walls	artery vessel walls
concept:plant:spruce	plant spruce
concept:country:equator__guinea	country equator guinea
concept:personus:gary_barnett	person us gary barnett
concept:sportsgame:days_last_week	sports game days last week
concept:city:watsonville	city watson ville
concept:city:truckee	city truck ee
concept:sportsteam:huskies	sports team huskies
concept:city:susanville	city susan ville
concept:automobilemaker:dallas_cowboys	automobile maker dallas cowboys
concept:building:spot	building spot
concept:country:jordan	country jordan
concept:coach:georgetown	coach georgetown
concept:university:the_ohio_state	university the ohio state
concept:geolocatablething:buildings	geol oca table thing buildings
concept:geopoliticallocation:anderson	geopolitical location anderson
concept:stadiumoreventvenue:sun_bowl_stadium	stadium or event venue sun bowl stadium
concept:plant:cork_oak	plant cork oak
concept:plant:douglas_fir	plant douglas fir
concept:stadiumoreventvenue:martin_stadium	stadium or event venue martin stadium
concept:city:sonoma	city sonoma
concept:county:granite	county granite
concept:sportsteam:red_wings	sports team red wings
concept:coach:arkansas_razorbacks	coach arkansas razorbacks
concept:plant:bald_cypress	plant bald cypress
concept:park:n1	park n 1
concept:continent:north_america	continent north america
concept:coach:mississippi_state_bulldogs	coach mississippi state bulldogs
concept:year:n1781	year n 1781
concept:university:clemson	university clemson
concept:personaustralia:mike_krzyzewski	person australia mike krzyzewski
concept:stateorprovince:travel	state or province travel
concept:artery:right	artery right
concept:city:antigua	city antigua
concept:country:uruguay	country uruguay
concept:bodypart:fluid_space	body part fluid space
concept:bodypart:hair_follicles	body part hair follicles
concept:plant:hedges	plant hedges
concept:plant:box	plant box
concept:bodypart:liver	body part liver
concept:stateorprovince:blue_state	state or province blue state
concept:bodypart:digestive_tract	body part digestive tract
concept:stadiumoreventvenue:lavell_edwards_stadium	stadium or event venue lave ll edwards stadium
concept:city:placentia	city placentia
concept:sportsteam:dallas_cowboys	sports team dallas cowboys
concept:plant:tree_species	plant tree species
concept:sportsgame:more_years	sports game more years
concept:country:belgium	country belgium
concept:bridge:world	bridge world
concept:city:wenatchee	city wen at chee
concept:plant:alder_trees	plant alder trees
concept:plant:myrtle	plant myrtle
concept:country:malta	country malta
concept:stateorprovince:contact	state or province contact
concept:city:rockford	city rockford
concept:coach:crean	coach crea n
concept:date:n1969	date n 1969
concept:city:denver	city denver
concept:country:republic_of_lithuania	country republic of lithuania
concept:nerve:damage	nerve damage
concept:visualizablething:stuff	visual iz able thing stuff
concept:website:developers	website developers
concept:city:zurich	city zurich
concept:bodypart:ears	body part ears
concept:mountain:long_island	mountain long island
concept:personaustralia:gary_pinkel	person australia gary pink el
concept:stadiumoreventvenue:navy_marine_corps_memorial_stadium	stadium or event venue navy marine corps memorial stadium
concept:sportsteam:year_the_cubs	sports team year the cubs
concept:artery:branches	artery branches
concept:artery:carotid	artery carotid
concept:country:darfur_region	country darfur region
concept:geopoliticallocation:santa_maria	geopolitical location santa maria
concept:coach:kentucky_wildcats	coach kentucky wildcats
concept:stadiumoreventvenue:amway_center	stadium or event venue amway center
concept:braintissue:eyes	brain tissue eyes
concept:city:arlington	city arlington
concept:celebrity:san_diego_state_aztecs	celebrity san diego state aztecs
concept:transportation:safety	transportation safety
concept:city:baldwin_park	city baldwin park
concept:stateorprovince:kansas	state or province kansas
concept:stateorprovince:nb	state or province nb
concept:country:jamaica	country jamaica
concept:artery:carotid_arteries	artery carotid arteries
concept:plant:post_oak	plant post oak
concept:person:molly_moore	person molly moore
concept:country:montenegro	country montenegro
concept:plant:hemlock	plant hemlock
concept:city:oak_park	city oak park
concept:plant:monocultures	plant monocultures
concept:plant:sugar_maple	plant sugar maple
concept:person:davis	person davis
concept:sportsteam:louisville_cardinals	sports team louisville cardinals
concept:country:drc	country drc
concept:professionalorganization:american_airlines_arena	professional organization american airlines arena
concept:country:scandinavian_countries	country scandinavian countries
concept:musician:jimmy_johnson	musician jimmy johnson
concept:sportsteam:buckeyes	sports team buckeyes
concept:country:pakistan	country pakistan
concept:city:copenhagen	city copenhagen
concept:plant:peach	plant peach
concept:stadiumoreventvenue:lockhart_stadium	stadium or event venue lockhart stadium
concept:bodypart:body_organs	body part body organs
concept:city:melbourne	city melbourne
concept:plant:fruit_trees	plant fruit trees
concept:sportsteam:blue_jays	sports team blue jays
concept:nerve:brain_function	nerve brain function
concept:politicsblog:originator	politics blog originator
concept:city:manhattan_beach	city manhattan beach
concept:geopoliticallocation:middle_east	geopolitical location middle east
concept:plant:live_oak	plant live oak
concept:plant:cypress_trees	plant cypress trees
concept:country:gambia	country gambia
concept:city:san_andreas	city san andreas
concept:landscapefeatures:battle	landscape features battle
concept:geopoliticallocation:arizona_state	geopolitical location arizona state
concept:plant:alder	plant alder
concept:city:pacifica	city pacific a
concept:county:n18_years	county n 18 years
concept:company:cities	company cities
concept:sportsteam:razorbacks	sports team razorbacks
concept:attraction:ground_zero	attraction ground zero
concept:room:family	room family
concept:city:conroe	city con roe
concept:coach:nick_saban	coach nick sab an
concept:city:charlottesville	city charlottesville
concept:park:word	park word
concept:coach:cam_cameron	coach cam cameron
concept:sportsteam:miami_dolphins	sports team miami dolphins
concept:sportsteam:penn_state	sports team penn state
concept:retailstore:big_apple	retail store big apple
concept:plant:oaks	plant oaks
concept:river:similkameen	river si milk a me en
concept:artery:spinal_canal	artery spinal canal
concept:coach:louisville	coach louisville
concept:bodypart:sac	body part sac
concept:sportsteam:beloved_cubs	sports team beloved cubs
concept:country:yemen	country yemen
concept:plant:crabapples	plant crabapples
concept:website:voice	website voice
concept:coach:bob_devaney	coach bob devan ey
concept:plant:mesquite	plant mesquite
concept:geopoliticallocation:americas	geopolitical location americas
concept:city:istanbul	city istanbul
concept:building:prices	building prices
concept:plant:cotton	plant cotton
concept:artery:arms	artery arms
concept:city:college_station	city college station
concept:country:colombia	country colombia
concept:continent:south_america	continent south america
concept:city:livermore	city livermore
concept:muscle:muscle_tension	muscle muscle tension
concept:artery:urinary_tract	artery urinary tract
concept:river:six	river six
concept:geopoliticallocation:far_east	geopolitical location far east
concept:politician:alex_sink	politician alex sink
concept:nongovorganization:cities	non gov organization cities
concept:geopoliticallocation:security	geopolitical location security
concept:stateorprovince:events	state or province events
concept:stadiumoreventvenue:indian_stadium	stadium or event venue indian stadium
concept:geopoliticalorganization:awards	geopolitical organization awards
concept:university:western_illinois	university western illinois
concept:county:lexington	county lexington
concept:university:purdue	university purdue
concept:personmexico:matt_painter	person mexico matt painter
concept:website:seven_days	website seven days
concept:visualizablescene:inn	visual iz able scene inn
concept:sportsequipment:gear	sports equipment gear
concept:stadiumoreventvenue:bulldog_stadium	stadium or event venue bulldog stadium
concept:bodypart:head001	body part head 001
concept:city:hotels	city hotels
concept:personus:thomas_steen	person us thomas steen
concept:stadiumoreventvenue:intersection	stadium or event venue intersection
concept:plant:avocado	plant avocado
concept:plant:blue_spruce	plant blue spruce
concept:city:blythe	city blythe
concept:nerve:unconscious_mind	nerve unconscious mind
concept:perceptionaction:dubuque	perception action dubuque
concept:stadiumoreventvenue:movie_gallery_stadium	stadium or event venue movie gallery stadium
concept:visualizablescene:san_bernadino	visual iz able scene san bernadin o
concept:stadiumoreventvenue:sam_boyd_stadium	stadium or event venue sam boyd stadium
concept:plant:box_elder	plant box elder
concept:city:friend	city friend
concept:coach:guy_morriss	coach guy morriss
concept:sportsleague:syracuse	sports league syracuse
concept:coach:doug_marrone	coach doug marr one
concept:stadiumoreventvenue:spartan_stadium	stadium or event venue spartan stadium
concept:attraction:nyc	attraction nyc
concept:professor:anson_dorrance	professor anson dor ran ce
concept:city:pullman	city pullman
concept:stateorprovince:iowa	state or province iowa
concept:university:carolina_state_university	university carolina state university
concept:attraction:art	attraction art
concept:landscapefeatures:industries	landscape features industries
concept:artery:central_nervous_system	artery central nervous system
concept:city:bradenton	city bradenton
concept:geopoliticallocation:continents	geopolitical location continents
concept:planet:friends	planet friends
concept:stadiumoreventvenue:aloha_stadium	stadium or event venue aloha stadium
concept:newspaper:democrat	newspaper democrat
concept:city:taipei	city taipei
concept:city:communities	city communities
concept:city:fallbrook	city fallbrook
concept:university:memphis	university memphis
concept:coach:tommy_west	coach tommy west
concept:geopoliticallocation:hamilton	geopolitical location hamilton
concept:coach:bob_stoops	coach bob stoops
concept:museum:powerhouse	museum powerhouse
concept:country:ease	country ease
concept:country:moldova	country moldova
concept:attraction:fun	attraction fun
concept:stateorprovince:southeast_asia	state or province southeast asia
concept:hotel:north	hotel north
concept:city:imperial_beach	city imperial beach
concept:country:eastern_european_countries	country eastern european countries
concept:retailstore:play	retail store play
concept:country:ivory_coast	country ivory coast
concept:website:organisations	website organisations
concept:hotel:landmark	hotel landmark
concept:county:chicago	county chicago
concept:plant:magnolias	plant magnolias
concept:city:newport_news_hampton_wmsburg	city newport news hampton wm s burg
concept:plant:tamarack	plant tama rack
concept:coach:mike_gundy	coach mike gun dy
concept:nerve:lymph	nerve lymph
concept:website:growth	website growth
concept:county:manhattan	county manhattan
concept:city:placerville	city placer ville
concept:city:pacific	city pacific
concept:city:berkeley	city berkeley
concept:county:detroit	county detroit
concept:braintissue:senses	brain tissue senses
concept:website:projects	website projects
concept:book:summerland	book summerland
concept:coach:bobby_gonzalez	coach bobby gonzalez
concept:room:setting	room setting
concept:plant:ash_trees	plant ash trees
concept:county:columbus	county columbus
concept:nerve:cranial_nerves	nerve cranial nerves
concept:plant:orchids	plant orchids
concept:coach:rick_barnes	coach rick barnes
concept:city:owensboro	city owensboro
concept:island:philippine_islands	island philippine islands
concept:city:mission_viejo	city mission viejo
concept:city:los_banos	city los bano s
concept:city:ames	city ames
concept:stadiumoreventvenue:louisiana_superdome	stadium or event venue louisiana superdome
concept:location:christian	location christian
concept:braintissue:myelin	brain tissue myelin
concept:sportsteam:wake_forest	sports team wake forest
concept:river:architecture	river architecture
concept:geopoliticallocation:european_nations	geopolitical location european nations
concept:person:montgomery	person montgomery
concept:city:mesquite	city mesquite
concept:plant:sage	plant sage
concept:city:shanghai	city shanghai
concept:country:new_guinea	country new guinea
concept:beverage:mobile	beverage mobile
concept:plant:red_cedar	plant red cedar
concept:stadiumoreventvenue:donald_w_reynolds_razorback_stadium	stadium or event venue donald w reynolds razor back stadium
concept:city:sausalito	city s a us alito
concept:city:surprise	city surprise
concept:transportation:stadium	transportation stadium
concept:stadiumoreventvenue:williams_brice_stadium	stadium or event venue williams brice stadium
concept:country:slovakia	country slovakia
concept:stateorprovince:durango	state or province durango
concept:coach:vince_dooley	coach vince dooley
concept:vein:layers	vein layers
concept:city:san_ramon	city san ramon
concept:room:hour	room hour
concept:visualizablescene:vacation	visual iz able scene vacation
concept:county:south_lake_tahoe	county south lake tahoe
concept:country:zambia	country zambia
concept:stadiumoreventvenue:lexington	stadium or event venue lexington
concept:room:development	room development
concept:planet:object	planet object
concept:geopoliticallocation:caribbean	geopolitical location caribbean
concept:website:babylon	website babylon
concept:city:american_city	city american city
concept:city:fredericksburg	city fredericksburg
concept:country:same_time	country same time
concept:plant:poplar	plant poplar
concept:person:al_skinner	person al skinner
concept:country:communist_china	country communist china
concept:sportsteam:brooklyn_dodgers	sports team brooklyn dodgers
concept:stadiumoreventvenue:rentschler_field	stadium or event venue rents c hler field
concept:artery:process	artery process
concept:plant:water_oaks	plant water oaks
concept:plant:lilies	plant lilies
concept:plant:red_oak	plant red oak
concept:visualizablething:urine	visual iz able thing urine
concept:country:republic_of_kenya	country republic of kenya
concept:city:kissimmee	city kissimmee
concept:plant:vine	plant vine
concept:street:lots	street lots
concept:visualizablething:big_city	visual iz able thing big city
concept:city:elgin	city elgin
concept:attraction:station	attraction station
concept:retailstore:border	retail store border
concept:country:u_s_a_	country u s a
concept:bodypart:gastrointestinal_system	body part gastrointestinal system
concept:stateorprovince:facility	state or province facility
concept:city:saratoga	city saratoga
concept:company:walt_disney_world	company walt disney world
concept:city:beverly_hills	city beverly hills
concept:attraction:press	attraction press
concept:stadiumoreventvenue:stage_ae	stadium or event venue stage a e
concept:plant:hazel	plant hazel
concept:transportation:money	transportation money
concept:country:ethiopia	country ethiopia
concept:county:jupiter	county jupiter
concept:country:djibouti	country djibouti
concept:country:barbados	country barbados
concept:mountain:bachelor	mountain bachelor
concept:sportsteam:habs	sports team habs
concept:landscapefeatures:guide	landscape features guide
concept:braintissue:encephalon	brain tissue en cephalon
concept:country:king	country king
concept:female:reno	female reno
concept:bodypart:heart_valves	body part heart valves
concept:sportsteam:uconn	sports team uconn
concept:website:aim	website aim
concept:museum:community	museum community
concept:insect:arkansas	insect arkansas
concept:plant:ponderosa_pine	plant ponder osa pine
concept:coach:frank_solich	coach frank so lich
concept:muscle:membrane	muscle membrane
concept:year:n1967	year n 1967
concept:city:carmichael	city carmichael
concept:braintissue:bodies	brain tissue bodies
concept:hospital:star	hospital star
concept:stateorprovince:zachodniopomorskie	state or province za chod nio pom or ski e
concept:city:el_cajon	city el cajon
concept:braintissue:sensory_systems	brain tissue sensory systems
concept:city:tampa_bay	city tampa bay
concept:city:bellflower	city bellflower
concept:plant:tulips	plant tulips
concept:plant:grasses	plant grasses
concept:visualizablescene:pasture	visual iz able scene pasture
concept:stateorprovince:kashmir	state or province kashmir
concept:city:native_south	city native south
concept:artery:neck	artery neck
concept:city:round_rock	city round rock
concept:plant:coconut_palms	plant coconut palms
concept:stateorprovince:course	state or province course
concept:perceptionaction:council_bluffs	perception action council bluffs
concept:company:services	company services
concept:lake:gulf	lake gulf
concept:attraction:studios	attraction studios
concept:politicsblog:showcase	politics blog showcase
concept:coach:purdue_boilermakers	coach purdue boiler makers
concept:country:cote_dvoire	country cote d voire
concept:sociopolitical:independence	sociopolitical independence
concept:eventoutcome:title	event outcome title
concept:hotel:resource	hotel resource
concept:bodypart:body_tissues	body part body tissues
concept:stadiumoreventvenue:joe_aillet_stadium	stadium or event venue joe ail let stadium
concept:sportsequipment:basketballs	sports equipment basketballs
concept:plant:live_oaks	plant live oaks
concept:plant:junipers	plant junipers
concept:river:boat	river boat
concept:sportsteam:umass_lowell_river_hawks	sports team umass lowell river hawks
concept:visualizablething:area_	visual iz able thing area
concept:room:rest	room rest
concept:coach:carroll	coach carroll
concept:city:naperville	city na per ville
concept:stadiumoreventvenue:amway_arena	stadium or event venue amway arena
concept:website:results	website results
concept:artery:microvessels	artery micro vessels
concept:braintissue:meninges	brain tissue meninges
concept:geopoliticalorganization:quec	geopolitical organization que c
concept:city:bar	city bar
concept:hotel:boutique_hotel	hotel boutique hotel
concept:landscapefeatures:top	landscape features top
concept:city:towns	city towns
concept:country:luxembourg	country luxembourg
concept:bodypart:thyroid_glands	body part thyroid glands
concept:trainstation:door	train station door
concept:stadiumoreventvenue:vaught_hemingway_stadium	stadium or event venue v aught hemingway stadium
concept:stadiumoreventvenue:falcon_stadium	stadium or event venue falcon stadium
concept:plant:banana	plant banana
concept:sportsteam:byu_hawaii	sports team byu hawaii
concept:geopoliticalorganization:wurttemberg	geopolitical organization wu rttemberg
concept:country:puerto_rico	country puerto rico
concept:county:celebration	county celebration
concept:room:levels	room levels
concept:plant:cherry_trees	plant cherry trees
concept:city:covina	city covina
concept:city:hometown	city hometown
concept:bodypart:soft_tissue	body part soft tissue
concept:person:george_washington	person george washington
concept:country:republic_of_seychelles	country republic of seychelles
concept:sportsteam:detroit_tigers	sports team detroit tigers
concept:city:bothell	city both ell
concept:visualizablescene:thousand_oaks	visual iz able scene thousand oaks
concept:lake:mid_atlantic	lake mid atlantic
concept:sportsteam:phils	sports team phil s
concept:room:unit	room unit
concept:sportsteam:uk	sports team uk
concept:bodypart:heart_chambers	body part heart chambers
concept:country:commonwealth_countries	country commonwealth countries
concept:city:encinitas	city enc in it as
concept:park:hyatt_regency	park hyatt regency
concept:artery:main_arteries	artery main arteries
concept:plant:beeches	plant beeches
concept:sportsteam:aggies	sports team aggies
concept:braintissue:esophagus	brain tissue esophagus
concept:bodypart:feet	body part feet
concept:bodypart:circulatory	body part circulatory
concept:stateorprovince:last_year	state or province last year
concept:stadiumoreventvenue:joan_c_edwards_stadium	stadium or event venue joan c edwards stadium
concept:plant:sweetgum	plant sweet gum
concept:plant:larch	plant larch
concept:musicsong:abilene	music song abilene
concept:city:districts	city districts
concept:stadiumoreventvenue:industry	stadium or event venue industry
concept:plant:plane_trees	plant plane trees
concept:visualizablething:altamonte_springs	visual iz able thing altamonte springs
concept:televisionstation:saint_louis	television station saint louis
concept:plant:hardwood_trees	plant hardwood trees
concept:coach:brett_carroll	coach brett carroll
concept:stadiumoreventvenue:princeton_stadium	stadium or event venue princeton stadium
concept:plant:white_spruce	plant white spruce
concept:mountain:inspiration	mountain inspiration
concept:stateorprovince:crime	state or province crime
concept:stadiumoreventvenue:agganis_arena	stadium or event venue a gg an is arena
concept:plant:boxelder	plant box elder
concept:city:northridge	city northridge
concept:city:sonora	city sonora
concept:braintissue:stress_response	brain tissue stress response
concept:stadiumoreventvenue:ohio_stadium	stadium or event venue ohio stadium
concept:park:skyline	park skyline
concept:stateorprovince:points	state or province points
concept:city:frisco	city frisco
concept:archaea:pathogens	archaea pathogens
concept:plant:fig_trees	plant fig trees
concept:lake:dublin	lake dublin
concept:athlete:rick_pitino	athlete rick pitino
concept:sportsteam:virginia_tech	sports team virginia tech
concept:plant:hemlocks	plant hemlocks
concept:city:tokyo	city tokyo
concept:country:united_arab_emirates	country united arab emirates
concept:city:cypress	city cypress
concept:musicinstrument:blocks	music instrument blocks
concept:county:atlanta	county atlanta
concept:city:bloomington	city bloomington
concept:geopoliticallocation:option	geopolitical location option
concept:city:durango	city durango
concept:city:killeen	city killeen
concept:musicinstrument:resource	music instrument resource
concept:bodypart:endocrine_system	body part endocrine system
concept:island:american_samoa	island american samoa
concept:lymphnode:enzymes	lymph node enzymes
concept:person:oklahoma_state	person oklahoma state
concept:city:countryside	city countryside
concept:room:back	room back
concept:bodypart:fascia	body part f as cia
concept:city:amsterdam	city amsterdam
concept:landscapefeatures:peak	landscape features peak
concept:plant:willow	plant willow
concept:transportation:residents	transportation residents
concept:shoppingmall:delray_beach	shopping mall delray beach
concept:restaurant:bed	restaurant bed
concept:bodypart:injury	body part injury
concept:retailstore:questions	retail store questions
concept:coach:randy_shannon	coach randy shannon
